player_id,age,gender,country,acquisition_channel,device_type,days_since_install,sessions_last_7d,avg_session_length_min,total_playtime_hours,levels_completed,current_level,tutorial_completed,num_friends_connected,push_notifications_enabled,ad_views,rewarded_ad_views,store_visits,items_viewed_in_store,wishlist_items,days_active_last_30,streak_days,rage_quit_events,level_fail_rate,social_shares,converted_to_payer
100000,29.0,Male,USA,organic,Android,9,11,9.518540156720336,2.66,16,16,1,2.0,1,8,2,1,4,1,19,9,0,0.636,3,1
100001,19.0,Female,USA,paid_social,iOS,3,12,15.190547734561248,2.91,13,14,1,2.0,1,7,2,4,9,2,24,2,5,0.755,0,0
100002,33.0,Male,Brazil,paid_social,Android,5,14,12.706770420675198,4.71,28,30,1,5.0,1,6,3,4,12,2,11,24,4,0.791,1,0
100003,35.0,Female,India,paid_social,Android,3,10,16.310338112580602,4.41,21,22,1,2.0,1,7,3,1,2,0,13,10,3,0.329,0,1
100004,13.0,Female,Indonesia,paid_search,Android,37,12,11.299237566877615,11.5,15,16,1,4.0,0,10,3,1,3,1,24,0,3,0.732,0,0
100005,17.0,Female,Mexico,paid_social,iOS,30,9,15.322250239319686,11.77,21,21,1,0.0,0,11,6,0,0,0,21,0,3,0.313,0,0
100006,28.0,Male,USA,paid_search,Android,9,5,15.29811985766617,2.17,12,14,1,3.0,0,5,3,2,5,2,27,0,6,0.629,1,1
100007,24.0,Female,Germany,organic,iOS,8,2,2.918549866652918,0.21,4,6,1,0.0,1,2,1,0,0,1,8,1,4,0.623,0,0
100008,27.0,Female,USA,organic,Android,35,14,15.319827725210478,14.78,23,23,1,1.0,1,13,5,4,7,0,11,5,1,0.224,1,0
100009,20.0,Male,India,influencer,Android,31,7,6.362742641403159,5.01,7,9,1,4.0,0,5,2,2,3,1,21,5,2,0.506,0,0
100010,34.0,Female,India,paid_social,Android,20,7,9.91756553152786,3.62,9,9,1,1.0,1,1,0,1,3,1,15,1,2,0.807,0,0
100011,33.0,Female,Germany,organic,iOS,34,8,14.642097021332765,9.68,14,16,1,1.0,1,12,7,3,9,1,17,1,4,0.886,1,0
100012,28.0,Female,Germany,influencer,Android,2,13,9.757329976008366,2.22,21,21,1,3.0,1,5,2,0,0,1,24,7,0,0.704,1,0
100013,36.0,Other,Indonesia,paid_social,Android,34,16,16.845006344545112,32.48,28,28,1,7.0,0,13,7,1,3,0,21,4,2,0.304,2,0
100014,31.0,Male,Philippines,paid_social,Android,18,11,11.476012217517516,5.09,21,23,1,0.0,1,6,1,2,4,1,17,10,5,0.525,1,1
100015,20.0,Male,USA,organic,Android,13,10,4.330975235573147,2.03,15,15,0,6.0,1,6,3,5,12,2,13,8,4,0.724,2,0
100016,30.0,Male,UK,paid_search,iOS,1,5,10.561219615822177,1.28,18,18,1,3.0,1,13,5,3,4,2,12,3,3,0.51,2,1
100017,19.0,Male,Indonesia,organic,Android,41,9,13.63034209493264,17.76,12,14,0,1.0,1,10,4,2,4,3,13,2,6,0.29,0,0
100018,34.0,Male,USA,paid_search,iOS,7,8,5.764083631491333,0.78,16,18,1,3.0,1,7,3,3,6,0,17,2,0,0.928,0,0
100019,27.0,Female,India,referral,iOS,4,4,0.5,0.06,8,9,1,2.0,0,2,1,2,7,1,5,1,4,0.6,0,0
100020,26.0,Male,USA,paid_search,Android,20,3,6.955820494724807,0.68,5,7,1,,0,1,0,0,0,2,19,3,5,0.82,2,0
100021,22.0,Female,USA,organic,iOS,5,5,8.22772736873154,1.34,10,11,1,2.0,1,8,4,0,0,1,11,6,1,0.149,1,0
100022,37.0,Male,India,organic,iOS,8,2,3.427135941838899,0.13,7,8,1,0.0,0,1,0,1,1,0,9,0,2,0.905,0,0
100023,26.0,Male,India,referral,iOS,56,6,6.8323347734433035,7.48,15,15,1,2.0,0,11,4,2,2,3,15,5,4,0.905,1,0
100024,24.0,Female,Japan,influencer,Android,2,4,16.14258424987006,0.89,10,12,1,1.0,1,7,4,5,14,1,14,3,3,0.447,2,0
100025,24.0,Female,Mexico,organic,iOS,12,6,6.797333975986598,1.63,8,10,1,,1,6,2,3,3,2,7,5,9,0.745,1,0
100026,31.0,Male,Germany,paid_social,Android,3,5,11.720278075761328,1.11,8,10,1,1.0,1,10,5,2,2,1,6,2,8,0.866,0,0
100027,30.0,Female,UK,paid_search,iOS,25,9,14.248659976222289,10.52,16,17,1,5.0,0,11,3,4,7,1,21,3,2,0.554,0,0
100028,30.0,Male,Canada,referral,Android,13,9,9.828224679318671,5.33,15,16,1,,1,5,2,4,15,1,13,9,2,0.91,0,0
100029,30.0,Male,Brazil,influencer,iOS,4,3,12.312784826633601,0.82,10,11,0,1.0,1,1,0,0,0,0,15,7,4,0.698,0,0
100030,44.0,Male,Germany,paid_search,iOS,40,3,8.701424567433802,1.62,12,12,1,1.0,1,4,2,1,3,0,10,3,6,0.744,0,0
100031,24.0,Female,Indonesia,organic,iOS,5,2,5.997969978945218,0.39,7,7,1,0.0,0,4,2,2,5,1,10,2,6,0.537,0,0
100032,23.0,Male,Japan,referral,iOS,7,2,1.5127226934547195,0.08,8,10,1,1.0,1,3,1,0,0,1,18,4,3,0.863,0,0
100033,20.0,Female,Philippines,referral,iOS,5,22,9.364607292350781,6.54,33,35,1,3.0,0,12,5,4,11,5,22,15,1,0.192,2,1
100034,32.0,Female,USA,paid_social,iOS,7,5,18.219513271966488,1.68,17,18,1,0.0,0,9,4,1,2,1,23,3,4,0.66,1,0
100035,36.0,Male,UK,paid_social,Android,26,9,15.72396833362131,13.47,23,25,1,3.0,0,6,3,2,4,1,8,1,4,0.487,0,0
100036,26.0,Female,India,organic,Android,25,6,10.32045413670072,3.45,12,14,0,1.0,0,7,1,3,4,1,14,1,3,0.763,0,0
100037,20.0,Male,India,organic,iOS,44,5,14.609428776457673,6.94,24,24,1,5.0,1,9,2,1,2,2,10,7,2,0.138,1,1
100038,20.0,Male,Germany,referral,Android,6,2,4.709861738633803,0.23,6,8,1,2.0,0,5,2,1,3,2,9,1,3,0.861,0,0
100039,,Male,UK,organic,iOS,2,6,7.866903386264975,1.09,6,7,0,2.0,1,10,4,0,0,0,6,2,2,0.574,0,0
100040,33.0,Male,USA,referral,Android,6,6,11.226004043703226,1.81,20,22,0,3.0,0,6,3,3,7,1,21,4,1,0.398,2,1
100041,31.0,Male,India,organic,Android,5,4,10.170144238834906,0.6,11,11,1,1.0,1,9,4,0,0,0,16,1,5,0.517,1,0
100042,22.0,Male,UK,organic,Android,12,7,7.747364137348644,1.23,13,15,1,2.0,1,12,5,3,9,3,22,9,5,0.264,1,0
100043,29.0,Female,USA,paid_social,iOS,5,6,0.5,0.1,6,7,1,1.0,1,1,0,2,7,0,25,2,10,0.526,1,0
100044,28.0,Male,Mexico,organic,Android,34,9,17.957621610031783,15.87,23,24,1,4.0,1,8,4,2,4,1,18,0,4,0.625,0,0
100045,29.0,Male,Brazil,paid_search,Android,27,5,4.775897791498205,2.33,5,6,1,0.0,0,3,2,0,0,0,9,8,0,0.74,1,0
100046,34.0,Female,Indonesia,organic,Android,84,11,11.618116080785091,18.65,20,22,1,3.0,1,3,1,2,6,2,21,3,5,0.779,1,0
100047,29.0,Male,USA,paid_search,Android,36,3,13.587113598737588,4.71,21,21,1,1.0,1,8,3,7,27,1,13,17,1,0.312,1,0
100048,32.0,Female,Canada,influencer,Android,5,10,9.284152005322635,3.37,21,22,1,5.0,0,6,2,0,0,3,22,3,2,0.623,1,0
100049,28.0,Female,Japan,paid_social,Android,70,1,1.8347492150054574,0.42,8,10,1,3.0,0,7,4,1,3,1,8,5,5,0.886,1,0
100050,29.0,Male,USA,organic,iOS,37,19,11.996319144446364,17.36,38,40,1,7.0,1,11,4,3,7,2,22,1,2,0.498,3,0
100051,32.0,Male,Indonesia,referral,iOS,15,7,13.202666504027864,6.01,6,7,1,2.0,1,3,1,1,2,1,27,0,2,0.789,0,0
